ID,Clasificación,Oración
10449,Compuesta,En caso de infección se pueden tomar antibióticos para tratarla infección y se evitarán complicaciones para la madre y el feto.
10450,Simple,Del total de la población el 3.13 % eran hispanos o latinos de cualquier raza.
10451,Compuesta-Compleja,"Al levantarse el telón, un oficial aparece castigando al pueblo, y ordenando que pidan que Borís acepte ser coronado zar."
10452,Simple,Del total de la población el 8.76 % eran hispanos o latinos de cualquier raza.
10453,Compleja,"En los últimos años, países como Estados Unidos han experimentado una expansión notable, aunque en niveles muy bajos, de la educación separada en las escuelas públicas (392 escuelas en todo el país para el curso 2008-2009)."
10454,Compleja,Tiene una población estimada de 19.000 habitantes (2001).
10455,Compleja,Quiero dejar constancia de mi agradecimiento por el resultado del trabajo que encargué a DETECTIVES ACERO.
10456,Compuesta,El encuentro finalizó con victoria para su equipo y Arroé ingresó en los minutos finales.
10457,Compleja,"En 2006, formó con Warren Ellis Grinderman, un grupo paralelo a The Bad Seeds que publicó su primer álbum al año siguiente."
10458,Compuesta,Gozan de gran popularidad en Europa del Este y también han editado singles en España.
10459,Compuesta-Compleja,"Fred Jones (Freddy) es un personaje ficticio creado por Joe Ruby, Ken Spears y Fred Silverman y producido por la compañía estadounidense Hanna - Barbera Productions para la serie televisiva, Scooby - Doo."
10460,Compleja,"El lugar en el que se hospedaron con su Green Box la familia de saltimbanquis fue el terreno llamado Tarrinzean - field (tarrinzean es un vocablo del inglés antiguo que significa verde), al lado del arrabal de Southwark, en los barrios bajos de Londres."
10461,Compleja,"Su mentor, Beres Hammond, fue quien lo produjo."
10462,Compuesta,"El 6 de febrero de 2001 Don Felder fue despedido de The Eagles y respondió con dos pleitos contra: ""Eagles, Ltd., una corporación de California;"
10463,Simple,"Su densidad de población es de 28,9 hab / km²."
10464,Compleja,"El objetivo de esta iniciativa es facilitar a los conductores el pago de los peajes sin necesidad de utilizar tarjetas de crédito o dinero en efectivo, además de hacer más corta la espera en estos puntos de las autopistas."
10465,Simple,En el año 2000 tenía una población de 4.493 habitantes y una densidad poblacional de 67.0 personas por km².
10466,Compuesta-Compleja,"Además de dedicarse a actividades financieras, Obregón se abocó al comercio de la sal que se producía en Araya (estado Sucre) y estableció unas matanzas de bovinos en la región de Guayana, donde proyectaba comerciar los cueros."
10467,Simple,El nuevo Toyota Hilux ya se encuentra disponible en 36 mercados europeos y un total de 135 mercados de todo el mundo.
10468,Simple,"El indicador de rumbo o giroscopio direccional, proporciona al piloto la dirección del avión en grados magnéticos."
10469,Compleja,"Uno de los temas más espinosos, sobre todo ante la oposición de los sindicatos, es la nueva modificación del sistema de pensiones que prevé el Ejecutivo, sobre todo el aumento de 42 años para los hombres y 41 para los mujeres del mínimo de años cotizados para poder percibir la pensión de ""antigüedad"" sin recurrir al sistema de cuotas por el que, según los medios, conseguiría 6.000 millones de euros."
10470,Compuesta-Compleja,"El 21 de octubre, entraron a formar parte del torneo 2012 Super Jr. Tag Tournament, derrotando a Jushin Liger & Tiger Mask IV en la primera ronda, pero perdiendo el 2 de noviembre ante Apollo 55 (Prince Devitt and Ryusuke Taguchi)."
10471,Indeterminada (múltiples verbos sin subordinación/coordinación clara),El interior gaditano quiere ser la referencia del nuevo proyecto junto con otros nombres como el de José Ángel según Sur.
10472,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Además, es una gran persona, remató Rooney."
10473,Compleja,"Ronny Blaschke es un periodista ""free - lance"" aleman que acaba de publicar su último libro que, traducido al castellano, viene a decir algo así como ""El ataque de la extrema derecha ¿Como los neonazis se apropiaron del fútbol?"""
10474,Compleja,El E3 atrae a decenas de miles de profesionales a experimentar el futuro del entretenimiento interactivo.
10475,Compleja,"Una estructura viva es una disposición de elementos químicos, dispuestos de tal forma que, en su estado más estable, se puede asemejar a un 'esquema energético' a la espera de ser 'leído'."
10476,Simple,"El 3 º Batallón fue a los puestos de guarnición a lo largo de la antigua Senda de Oregón, ahora la carretera de Platte."
10477,Compleja,"A petición de la viuda de Piquer, el escultor Sabino Medina se encarga de acabar los trabajos de tallaje."
10478,Compleja,El municipio de Sherman se encuentra ubicado en las coordenadas.
10479,Compuesta-Compleja,"Algunos viajeros optaron por volverse, otros, conocedores del lugar, entendieron las explicaciones que se les dió para tomar caminos de tierra y alternativa y finalmente, los más pragmáticos decidieron tomar habitaciones y descansar en alguno de los hoteles que funcionan en la importante ciudad, centro comercial de la intensa actividad agropecuaria en una de las mejores zonas productivas de la Argentina."
10480,Compleja,"El festival comenzó en 1992 como un único festival con sede en Sídney, aunque en 1993 fue ampliado a Melbourne, Perth y Adelaida."
10481,Compleja,"Casino Arica es el segundo más antiguo del país, creado el 17 de marzo de 1960 en la Hostería Arica (actual Hotel Arica)."
10482,Compleja,"El Museo de la Secretaría de Hacienda y Crédito Público se encuentra localizado en el Centro Histórico de la Ciudad de México, México."
10483,Simple,Al principio se la consideraba una actividad de ociosos y desocupados o de personas de una frondosa imaginación.
10484,Simple,Fue profesor de Geología y Paleontología y director del Instituto Paleontológico de la Universidad de Bonn.
10485,Simple,Hemos acabado encantados con tu trabajo en el rodaje del videoclip operístico de Carlo Colombara.
10486,Simple,"Étienne Joseph Louis Garnier - Pagès (Marsella, 27 de diciembre de 1801 -- París, 23 de junio de 1841) fue un político y economista francés."
10487,Compleja,"Israel extiende sus dominios en el Levante derrotando a amonitas y arameos, llegando hasta Damasco."
10488,Compleja,"Un foso, sobre el que se alzaba un puente levadizo, había de ser superado para llegar a la entrada principal del castillo."
10489,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"Puede ser: Guacamayo, Gaviota, Paloma, Mariposa, Lagartija, Ratón, Ardilla y Garza"
10490,Simple,"Josep Gibert i Clols (Valls, Tarragona, 1941 -- Terrassa, Barcelona, 7 de octubre de 2007) fue un paleoantropólogo español."
10491,Compleja,"Como Gondor construyó varios fuertes a lo largo de los codos del río Anduin, en donde se hallaban los vados."
10492,Indeterminada (múltiples verbos sin subordinación/coordinación clara),"A pesar de la cobertura de prensa en Engineering The Impossible de Discovery Channel y otros reportajes, el proyecto ha sido testigo de algunos acontecimientos recientes."
10493,Simple,"Según la cadena TV3, el argentino Mascherano podría convertirse en los próximos días como futbolista del FC Barcelona."
10494,Compuesta-Compleja,"Inicialmente estudió en Gießen, pero como las personas judías no podía ser elegidas para puestos públicos en Fráncfort, por lo que fue enviado a estudiar medicina a Berlín, bajo la tutela de Markus Herz."
10495,Compuesta-Compleja,"""Esto nos confirma una vez más, dijo Marroquín, que el Gobierno nacional continúa con su sistemática e intencionada campaña para acabar con la prensa independiente y establecer, por ley o por vía judicial, el patrimonio de la verdad que deben consumir todos los ecuatorianos"", expresó."
10496,Simple,"Posee propiedades antidiarreicas, o astringentes, y homeostáticas."
10497,Simple,Su ubicación es óptima.
10498,Simple,"Falleció en Curicó, en 1879."
10499,Compleja,"A su vez, el área que Schiavi heredó de Ricardo Jaime depende del Ministerio de Planificación Federal de Julio De Vido."
10500,Compuesta,El Puerto de la Cruz Verde está calificado como de tercera categoría y tiene una altitud de 1.251 m.
10501,Compleja,"A mi me liaron para ir a una entrevista con uno de sus clientes cuando les dije que me resultaba imposible por otros compromisos que tenía, insistieron tanto que cedí para después ser ellos los que me dejaron tirado porque ya habían cubierto el puesto sin avisarme."
10502,Compuesta-Compleja,"Se meten en el coche y dirigirse a lugares desconocidos, pero están de acuerdo que no hay lugar como el Harlem."
10503,Simple,"Esta biografía se basa, en buena parte, en la información del Diccionario Biográfico Colonial de José Toribio Medina."
10504,Compleja,"Tabla de alcances para el Mortero Stokes de 3 pulgadas (provisional), impresa en setiembre de 1917."
10505,Compuesta,"El 16 de agosto los franceses, al mando del general Merlin, tomaron Bilbao por la fuerza tras duros combates y saquearon la villa, junto con los municipios de Deusto y Begoña."
10506,Compleja,Corrió hacia las líneas alemanas mientras le disparaban los camiones de un convoy aliado que acababa de sobrevolar.
10507,Simple,"En la puerta de la izquierda se grabó parte de la serie ""Villa Arriba y Villa Abajo""."
10508,Compleja,"Esta subfamilia, que incluye una sola tribu denominada Gochnatieae, está caracterizada por sus flores con ramas estilares cortas, glabras y con los ápices redondeados."
10509,Compleja,"Aunque Orbiter contiene una base de dato de más de 100.000 estrellas, éstas no están disponibles como destinos para viajes interestelares a pesar de existir parches para vuelos a mayor velocidad que la luz."
10510,Compuesta-Compleja,Las dos mujeres se hicieron amigas y trataron de mantener el secreto pero Rackham comenzó a sospechar de la cercana relación de Bonny con el nuevo marinero y demandó una explicación.
10511,Compuesta-Compleja,"El Shanghai Shenhua ha cerrado el fichaje de Anelka por las dos próximas temporadas como ha confirmado hace unos minutos el medio Nuevo Fútbol y es que el francés es uno de los que no contaban para el Chelsea actual de André Villas - Boas, el técnico portugués es uno de los genios y dependía mucho de su estancia para dar entrada a otro."
10512,Compuesta-Compleja,"No pedimos nada del otro mundo y costó 25 € por persona, no volvería allí ni aunque costase 5 € por persona."
10513,Compleja,"Después de probar tanto el AGM - 86 ALCM respaldado por la Fuerza Aérea como el BGM - 109 Tomahawk respaldado por la Armada, se eligió el AGM - 86B para ser utilizado por el B - 52 (y finalmente por el Rockwell B - 1 Lancer)."
10514,Simple,Su actividad reproductora se desarrolla en el verano y a principio del otoño.
10515,Compleja,"Por el momento, en Hacienda continuarán trabajando para definir las mejores posibilidades para los empleados, que vienen reclamando desde hace varios meses una mejora."
10516,Indeterminada (múltiples verbos sin subordinación/coordinación clara),El día siguiente fue ratificada su reclusión.
10517,Compuesta,Partieron de Cádiz en marzo de 1667 y llegaron al puerto de El Callao el 9 de noviembre de ese mismo año.
